arquivo,tipo,categoria,qualidade,orientacao,uso,alt,flags,data,largura,altura,mb,segundos,rotacao,sequencia
20180120_152925.jpg,foto,envelopamento,5,retrato,card-servico,Capo de Mustang preto e branco listrado com logo The Dark Film na frente,nenhum,20180120,3096,4128,1.3,,,S001
20220819_204141.jpg,foto,outro,3,retrato,galeria,Carro esportivo vermelho antigo exposto na loja sobre piso xadrez,bagunca-no-fundo,20220819,4000,3000,3.6,,,S016
20221018_172427.jpg,foto,loja-fachada,4,paisagem,hero,Fachada da loja The Dark Film ao entardecer com letreiros 3M e Thule,placa-visivel,20221018,4000,3000,2.5,,,S008
20221018_172440.jpg,foto,loja-fachada,4,paisagem,card-servico,Fachada com placa 3M Aplicador Autorizado e letreiro The Dark Film,nenhum,20221018,4000,3000,2.4,,,S008
20221018_172443.jpg,foto,loja-fachada,4,paisagem,galeria,Fachada da loja com carro estacionado na frente e rodas expostas,placa-visivel;sequencia-parecida,20221018,4000,3000,2.1,,,S008
20230119_175925.jpg,foto,outro,5,retrato,hero,Kombi antiga customizada azul-petroleo exposta na loja sobre piso xadrez,placa-visivel,20230119,4000,3000,2.1,,,S017
20230121_172333.jpg,foto,pelicula-arquitetonica,1,retrato,descartar,Foto borrada de janelas com pelicula fosca em ambiente decorado com vasos,desfocada,20230121,4000,3000,2.1,,,S071
20230130_162441.jpg,foto,outro,4,retrato,galeria,Interior da loja decorado com motos bicicletas e replica de carro de corrida,bagunca-no-fundo,20230130,4000,3000,2.3,,,S018
20230130_162448.jpg,foto,outro,3,retrato,galeria,Area de convivencia da loja com decoracao vintage e geladeira de bebidas,bagunca-no-fundo,20230130,4000,3000,2.7,,,S018
20230130_162455.jpg,foto,outro,4,retrato,galeria,Parede de rodas e carros de clientes estacionados dentro da oficina,bagunca-no-fundo,20230130,4000,3000,2.5,,,S018
20230706_174852.jpg,foto,outro,5,retrato,hero,Porsche 356 vermelho de corrida estacionado em frente a loja ao entardecer,nenhum,20230706,4000,3000,3.5,,,S019
20230803_094508.jpg,foto,pelicula-automotiva,4,retrato,card-servico,Jeep Wrangler Rubicon cinza com vidros escurecidos dentro da oficina,placa-visivel,20230803,4000,3000,2.2,,,S080
20230805_152415.jpg,foto,outro,3,paisagem,galeria,Sedan perua e Fusca classicos estacionados dentro da oficina decorada,placa-visivel;bagunca-no-fundo,20230805,4000,3000,2.9,,,S020
20231220_151747.jpg,foto,outro,5,retrato,hero,Land Rover Defender preto com rack de teto e estribos na oficina,sequencia-parecida,20231220,4080,3060,3.6,,,S021
20231220_151754.jpg,foto,outro,5,retrato,galeria,Land Rover Defender preto vista lateral dentro da oficina,sequencia-parecida,20231220,4080,3060,3.6,,,S021
20231220_151806.jpg,foto,outro,5,retrato,hero,Land Rover Defender preto visto de tras com luzes traseiras acesas,placa-visivel;sequencia-parecida,20231220,4080,3060,3.5,,,S021
20231220_151820.jpg,foto,outro,5,retrato,hero,Land Rover Defender preto visto de frente com farol aceso na oficina,placa-visivel;sequencia-parecida,20231220,4080,3060,3.3,,,S021
20231220_151831.jpg,foto,outro,5,retrato,galeria,Interior do Land Rover Defender com bancos e painel em couro caramelo,sequencia-parecida,20231220,4080,3060,3.8,,,S021
20240327_143358.jpg,foto,outro,4,retrato,galeria,Porsche Boxster preto dentro da oficina com outros carros ao fundo,bagunca-no-fundo,20240327,4080,3060,4.1,,,S022
20240327_143605.jpg,foto,outro,4,retrato,galeria,Traseira do Porsche Boxster preto dentro da oficina,sequencia-parecida;bagunca-no-fundo,20240327,4080,3060,4.4,,,S022
20240327_143706.jpg,foto,outro,4,retrato,galeria,Interior do Porsche Boxster com bancos de couro caramelo e porta aberta,sequencia-parecida,20240327,4080,3060,3.8,,,S022
20240327_143847.jpg,foto,outro,5,retrato,galeria,Detalhe de roda e pinca de freio vermelha em Porsche preto,sequencia-parecida,20240327,4080,3060,3.6,,,S022
20240327_143930.jpg,foto,outro,4,retrato,galeria,Detalhe do emblema Boxster S na tampa traseira do carro preto,sequencia-parecida,20240327,4080,3060,4.7,,,S022
20240327_144402.jpg,foto,outro,4,retrato,hero,Traseira do Porsche Boxster S com porta-placa personalizado The Dark Film,sequencia-parecida,20240327,4080,3060,3.9,,,S022
20240327_144630.mp4,video,pelicula-automotiva,4,retrato,bloco-servico,Acabamento com politriz na borda do para-brisa apos instalacao de pelicula,rosto-visivel;vertical,20240327,1920,1080,10.1,4,-90,S081
20240327_152441.mp4,video,pelicula-automotiva,1,retrato,descartar,Maos mexendo no vidro traseiro em cena escura e tremula dificil de identificar,escuro;tremido;vertical,20240327,1920,1080,13.4,6,-90,S082
20240327_152515.mp4,video,pelicula-automotiva,1,retrato,descartar,Reflexo desfocado no para-brisa traseiro em imagem escura e ilegivel,escuro;tremido;vertical,20240327,1920,1080,10.2,4,-90,S082
20240327_153501.mp4,video,pelicula-automotiva,2,retrato,descartar,Braco com pulseira da marca mexendo no vidro com logo Dark & Sound ao fundo,escuro;tremido;vertical,20240327,1920,1080,10.2,4,-90,S082
20240519_003343.jpg,foto,envelopamento,3,retrato,galeria,Scooter com grafismo laranja estilo Gulf ao lado de lambreta antiga bege,escura,20240519,4080,3060,4.4,,,S002
20240524_143429.mp4,video,outro,4,retrato,galeria,Interior limpo de Audi com tapete e pedaleira sem pessoas,vertical,20240524,1920,1080,20.5,9,-90,S023
20240524_143638.mp4,video,outro,4,retrato,galeria,Grade dianteira de Volvo com placa The Dark Film carro pronto,vertical,20240524,1920,1080,19.0,9,-90,S023
20240524_143654.mp4,video,outro,4,retrato,galeria,Grade dianteira de VW Golf azul com placa da empresa,vertical,20240524,1920,1080,11.3,5,-90,S023
20240607_173044.jpg,foto,pelicula-automotiva,5,paisagem,hero,Porsche Cayenne branco com vidros traseiros escurecidos na oficina,placa-visivel,20240607,4080,3060,3.8,,,S083
20240607_173054.jpg,foto,pelicula-automotiva,5,paisagem,hero,Porsche Cayenne branco visto de tras com pelicula escura nos vidros,sequencia-parecida,20240607,4080,3060,3.9,,,S083
20240607_173126.jpg,foto,outro,5,paisagem,galeria,Interior do Porsche Cayenne com volante e painel em couro,sequencia-parecida,20240607,4080,3060,4.5,,,S024
20240607_174228.jpg,foto,outro,4,retrato,galeria,Emblema e-hybrid em detalhe na lataria cinza do Porsche Cayenne,sequencia-parecida,20240607,4080,3060,3.6,,,S025
20240607_174233.jpg,foto,outro,5,retrato,galeria,Detalhe de roda e pinca de freio verde neon em Porsche Cayenne,sequencia-parecida,20240607,4080,3060,3.9,,,S025
20240704_140442.jpg,foto,pelicula-automotiva,5,retrato,hero,Porsche Panamera cinza com vidros escurecidos dentro da oficina,placa-visivel,20240704,4080,3060,3.4,,,S084
20240704_140513.jpg,foto,pelicula-automotiva,5,retrato,hero,Porsche Panamera cinza visto de tras com porta-placa The Dark Film,placa-visivel;sequencia-parecida,20240704,4080,3060,3.7,,,S084
20240704_140528.jpg,foto,outro,5,retrato,galeria,Detalhe de roda Michelin e pinca de freio no Porsche Panamera,sequencia-parecida,20240704,4080,3060,3.1,,,S026
20240704_140557.jpg,foto,pelicula-automotiva,5,retrato,hero,Porsche Panamera cinza visto de frente dentro da oficina,sequencia-parecida,20240704,4080,3060,3.5,,,S084
20240704_140634.jpg,foto,outro,5,retrato,galeria,Detalhe do volante e painel do Porsche Panamera,sequencia-parecida,20240704,4080,3060,2.8,,,S026
20240705_142317.jpg,foto,loja-fachada,5,paisagem,hero,Fachada da loja The Dark Film em dia claro com placas 3M e Thule,nenhum,20240705,4080,3060,4.8,,,S009
20240705_142320.jpg,foto,loja-fachada,5,paisagem,galeria,Fachada da loja The Dark Film em dia claro em outro angulo,sequencia-parecida,20240705,4080,3060,4.7,,,S009
20240705_142349.jpg,foto,loja-fachada,5,paisagem,hero,Fachada da loja com rodas expostas placa 3M e carro estacionado,placa-visivel,20240705,4080,3060,3.9,,,S009
20240705_142351.jpg,foto,loja-fachada,5,paisagem,card-servico,Fachada da loja com carro estacionado e funcionario curvado no porta-malas,placa-visivel,20240705,4080,3060,4.4,,,S009
20240705_174447.jpg,foto,outro,5,retrato,hero,Sedan eletrico preto dentro da oficina com porta-placa The Dark Film,nenhum,20240705,4080,3060,3.1,,,S027
20240705_174919.jpg,foto,pelicula-automotiva,5,retrato,hero,BYD preto visto de tras com vidros escurecidos e porta-placa The Dark Film,sequencia-parecida,20240705,4080,3060,3.2,,,S085
20240712_164940.jpg,foto,outro,5,paisagem,galeria,Interior de Peugeot azul com volante e central multimidia,nenhum,20240712,4080,3060,2.9,,,S028
20240712_165130.jpg,foto,pelicula-automotiva,5,paisagem,hero,Peugeot 2008 azul visto de tras com vidros traseiros escurecidos,nenhum,20240712,4080,3060,3.1,,,S086
20240712_165418.jpg,foto,pelicula-automotiva,5,retrato,hero,Peugeot 2008 azul visto de frente com faixa solar e vidros escurecidos,sequencia-parecida,20240712,4080,3060,3.3,,,S086
20240930_153131.jpg,foto,loja-fachada,5,retrato,hero,VW Golf vermelho estacionado em frente a loja em dia ensolarado,placa-visivel,20240930,4080,3060,3.9,,,S010
20240930_153145.jpg,foto,loja-fachada,5,retrato,hero,VW Golf vermelho em frente a loja em outro angulo dia ensolarado,placa-visivel;sequencia-parecida,20240930,4080,3060,3.6,,,S010
20240930_153632.jpg,foto,loja-fachada,5,retrato,hero,Fachada da loja com Jeep Willys e VW Golf vermelho estacionados,placa-visivel,20240930,4080,3060,3.5,,,S010
20241003_110458.jpg,foto,outro,4,retrato,galeria,Decoracao da loja com TV antiga capacete stormtrooper e mascara Deadpool,nenhum,20241003,4080,3060,3.2,,,S029
20241127_131651.mp4,video,outro,2,retrato,descartar,Interior de Kombi camper com bandeira do Brasil na janela imagem tremula,tremido;vertical,20241127,1920,1080,13.9,6,-90,S030
20241206_134544.jpg,foto,envelopamento,4,retrato,antes-depois,Mitsubishi Lancer roxo metalico dentro da oficina com outros carros ao fundo,placa-visivel;bagunca-no-fundo,20241206,4080,3060,3.9,,,S003
20241206_134634.jpg,foto,equipe,4,retrato,card-servico,Funcionario na recepcao da loja com letreiro 3M Aplicador Autorizado,rosto-visivel,20241206,4080,3060,3.5,,,S006
20241206_152137.jpg,foto,loja-fachada,5,paisagem,hero,Fachada da loja com Fusca variante azul claro e Jeep estacionados,placa-visivel,20241206,4080,3060,5.1,,,S011
20241206_152146.jpg,foto,loja-fachada,5,paisagem,hero,Fachada da loja The Dark Film com carro antigo e rodas expostas na calçada,placa-visivel,20241206,4080,3060,5.0,,,S011
20241206_152155(1).jpg,foto,loja-fachada,5,retrato,hero,Fachada da loja com Jeep Willys exposto e rodas na vitrine,placa-visivel,20241206,4080,3060,3.8,,,S011
20241206_152155.jpg,foto,loja-fachada,5,retrato,descartar,Fachada da loja com Jeep Willys exposto e rodas na vitrine (duplicata),placa-visivel;sequencia-parecida,20241206,4080,3060,3.8,,,S011
20241206_152204(1).jpg,foto,equipe,4,retrato,galeria,Balcão de atendimento 3M com atendentes na loja,rosto-visivel,20241206,4080,3060,3.5,,,S007
20241206_152204.jpg,foto,equipe,4,retrato,descartar,Balcão de atendimento 3M com atendentes na loja (duplicata),rosto-visivel;sequencia-parecida,20241206,4080,3060,3.5,,,S007
20241212_143853.mp4,video,outro,4,retrato,galeria,Kombi azul clara com placa The Dark Film na frente,vertical,20241212,1920,1080,28.8,13,-90,S031
20241212_144439.mp4,video,outro,4,retrato,galeria,Kombi vista de outro angulo emblema VW e placa da empresa,vertical,20241212,1920,1080,15.8,7,-90,S031
20241212_144932.jpg,foto,outro,4,retrato,galeria,Volkswagen Fusca amarelo estacionado dentro da oficina,nenhum,20241212,4080,3060,2.9,,,S031
20241212_144955.jpg,foto,outro,3,retrato,galeria,Interior da oficina com Kombi Fusca e outros carros estacionados,nenhum,20241212,4080,3060,3.0,,,S031
20241212_145224.jpg,foto,outro,3,retrato,galeria,Vista geral da oficina com vários carros estacionados,nenhum,20241212,4080,3060,2.8,,,S031
20241213_204806.jpg,foto,outro,5,retrato,galeria,Adesivo decorativo em vidro lateral de carro esportivo clássico laranja,nenhum,20241213,4080,3060,2.7,,,S032
20241213_204836.jpg,foto,outro,4,paisagem,galeria,Interior da oficina com carro clássico laranja e Mini Cooper amarelo,placa-visivel,20241213,4080,3060,2.9,,,S032
