arquivo,categoria,qualidade,orientacao,uso,alt,flags
20180120_152925.jpg,envelopamento,5,retrato,card-servico,Capo de Mustang preto e branco listrado com logo The Dark Film na frente,nenhum
20220819_204141.jpg,outro,3,retrato,galeria,Carro esportivo vermelho antigo exposto na loja sobre piso xadrez,bagunca-no-fundo
20221018_172427.jpg,loja-fachada,4,paisagem,hero,Fachada da loja The Dark Film ao entardecer com letreiros 3M e Thule,placa-visivel
20221018_172440.jpg,loja-fachada,4,paisagem,card-servico,Fachada com placa 3M Aplicador Autorizado e letreiro The Dark Film,nenhum
20221018_172443.jpg,loja-fachada,4,paisagem,galeria,Fachada da loja com carro estacionado na frente e rodas expostas,placa-visivel;sequencia-parecida
20230119_175925.jpg,outro,5,retrato,hero,Kombi antiga customizada azul-petroleo exposta na loja sobre piso xadrez,placa-visivel
20230121_172333.jpg,pelicula-arquitetonica,1,retrato,descartar,Foto borrada de janelas com pelicula fosca em ambiente decorado com vasos,desfocada
20230130_162441.jpg,outro,4,retrato,galeria,Interior da loja decorado com motos bicicletas e replica de carro de corrida,bagunca-no-fundo
20230130_162448.jpg,outro,3,retrato,galeria,Area de convivencia da loja com decoracao vintage e geladeira de bebidas,bagunca-no-fundo
20230130_162455.jpg,outro,4,retrato,galeria,Parede de rodas e carros de clientes estacionados dentro da oficina,bagunca-no-fundo
20230706_174852.jpg,outro,5,retrato,hero,Porsche 356 vermelho de corrida estacionado em frente a loja ao entardecer,nenhum
20230803_094508.jpg,pelicula-automotiva,4,retrato,card-servico,Jeep Wrangler Rubicon cinza com vidros escurecidos dentro da oficina,placa-visivel
20230805_152415.jpg,outro,3,paisagem,galeria,Sedan perua e Fusca classicos estacionados dentro da oficina decorada,placa-visivel;bagunca-no-fundo
20231220_151747.jpg,outro,5,retrato,hero,Land Rover Defender preto com rack de teto e estribos na oficina,sequencia-parecida
20231220_151754.jpg,outro,5,retrato,galeria,Land Rover Defender preto vista lateral dentro da oficina,sequencia-parecida
20231220_151806.jpg,outro,5,retrato,hero,Land Rover Defender preto visto de tras com luzes traseiras acesas,placa-visivel;sequencia-parecida
20231220_151820.jpg,outro,5,retrato,hero,Land Rover Defender preto visto de frente com farol aceso na oficina,placa-visivel;sequencia-parecida
20231220_151831.jpg,outro,5,retrato,galeria,Interior do Land Rover Defender com bancos e painel em couro caramelo,sequencia-parecida
20240327_143358.jpg,outro,4,retrato,galeria,Porsche Boxster preto dentro da oficina com outros carros ao fundo,bagunca-no-fundo
20240327_143605.jpg,outro,4,retrato,galeria,Traseira do Porsche Boxster preto dentro da oficina,sequencia-parecida;bagunca-no-fundo
20240327_143706.jpg,outro,4,retrato,galeria,Interior do Porsche Boxster com bancos de couro caramelo e porta aberta,sequencia-parecida
20240327_143847.jpg,outro,5,retrato,galeria,Detalhe de roda e pinca de freio vermelha em Porsche preto,sequencia-parecida
20240327_143930.jpg,outro,4,retrato,galeria,Detalhe do emblema Boxster S na tampa traseira do carro preto,sequencia-parecida
20240327_144402.jpg,outro,4,retrato,hero,Traseira do Porsche Boxster S com porta-placa personalizado The Dark Film,sequencia-parecida
20240519_003343.jpg,envelopamento,3,retrato,galeria,Scooter com grafismo laranja estilo Gulf ao lado de lambreta antiga bege,escura
20240607_173044.jpg,pelicula-automotiva,5,paisagem,hero,Porsche Cayenne branco com vidros traseiros escurecidos na oficina,placa-visivel
20240607_173054.jpg,pelicula-automotiva,5,paisagem,hero,Porsche Cayenne branco visto de tras com pelicula escura nos vidros,sequencia-parecida
20240607_173126.jpg,outro,5,paisagem,galeria,Interior do Porsche Cayenne com volante e painel em couro,sequencia-parecida
20240607_174228.jpg,outro,4,retrato,galeria,Emblema e-hybrid em detalhe na lataria cinza do Porsche Cayenne,sequencia-parecida
20240607_174233.jpg,outro,5,retrato,galeria,Detalhe de roda e pinca de freio verde neon em Porsche Cayenne,sequencia-parecida
20240704_140442.jpg,pelicula-automotiva,5,retrato,hero,Porsche Panamera cinza com vidros escurecidos dentro da oficina,placa-visivel
20240704_140513.jpg,pelicula-automotiva,5,retrato,hero,Porsche Panamera cinza visto de tras com porta-placa The Dark Film,placa-visivel;sequencia-parecida
20240704_140528.jpg,outro,5,retrato,galeria,Detalhe de roda Michelin e pinca de freio no Porsche Panamera,sequencia-parecida
20240704_140557.jpg,pelicula-automotiva,5,retrato,hero,Porsche Panamera cinza visto de frente dentro da oficina,sequencia-parecida
20240704_140634.jpg,outro,5,retrato,galeria,Detalhe do volante e painel do Porsche Panamera,sequencia-parecida
20240705_142317.jpg,loja-fachada,5,paisagem,hero,Fachada da loja The Dark Film em dia claro com placas 3M e Thule,nenhum
20240705_142320.jpg,loja-fachada,5,paisagem,galeria,Fachada da loja The Dark Film em dia claro em outro angulo,sequencia-parecida
20240705_142349.jpg,loja-fachada,5,paisagem,hero,Fachada da loja com rodas expostas placa 3M e carro estacionado,placa-visivel
20240705_142351.jpg,loja-fachada,5,paisagem,card-servico,Fachada da loja com carro estacionado e funcionario curvado no porta-malas,placa-visivel
20240705_174447.jpg,outro,5,retrato,hero,Sedan eletrico preto dentro da oficina com porta-placa The Dark Film,nenhum
20240705_174919.jpg,pelicula-automotiva,5,retrato,hero,BYD preto visto de tras com vidros escurecidos e porta-placa The Dark Film,sequencia-parecida
20240712_164940.jpg,outro,5,paisagem,galeria,Interior de Peugeot azul com volante e central multimidia,nenhum
20240712_165130.jpg,pelicula-automotiva,5,paisagem,hero,Peugeot 2008 azul visto de tras com vidros traseiros escurecidos,nenhum
20240712_165418.jpg,pelicula-automotiva,5,retrato,hero,Peugeot 2008 azul visto de frente com faixa solar e vidros escurecidos,sequencia-parecida
20240930_153131.jpg,loja-fachada,5,retrato,hero,VW Golf vermelho estacionado em frente a loja em dia ensolarado,placa-visivel
20240930_153145.jpg,loja-fachada,5,retrato,hero,VW Golf vermelho em frente a loja em outro angulo dia ensolarado,placa-visivel;sequencia-parecida
