arquivo,categoria,qualidade,orientacao,uso,alt,flags
20241206_152146.jpg,loja-fachada,5,paisagem,hero,Fachada da loja The Dark Film com carro antigo e rodas expostas na calçada,placa-visivel
20241206_152155(1).jpg,loja-fachada,5,retrato,hero,Fachada da loja com Jeep Willys exposto e rodas na vitrine,placa-visivel
20241206_152155.jpg,loja-fachada,5,retrato,descartar,Fachada da loja com Jeep Willys exposto e rodas na vitrine (duplicata),placa-visivel;sequencia-parecida
20241206_152204(1).jpg,equipe,4,retrato,galeria,Balcão de atendimento 3M com atendentes na loja,rosto-visivel
20241206_152204.jpg,equipe,4,retrato,descartar,Balcão de atendimento 3M com atendentes na loja (duplicata),rosto-visivel;sequencia-parecida
20241212_144932.jpg,outro,4,retrato,galeria,Volkswagen Fusca amarelo estacionado dentro da oficina,nenhum
20241212_144955.jpg,outro,3,retrato,galeria,Interior da oficina com Kombi Fusca e outros carros estacionados,nenhum
20241212_145224.jpg,outro,3,retrato,galeria,Vista geral da oficina com vários carros estacionados,nenhum
20241213_204806.jpg,outro,5,retrato,galeria,Adesivo decorativo em vidro lateral de carro esportivo clássico laranja,nenhum
20241213_204836.jpg,outro,4,paisagem,galeria,Interior da oficina com carro clássico laranja e Mini Cooper amarelo,placa-visivel
20241213_204930.jpg,outro,4,paisagem,galeria,Interior de carro esportivo clássico com porta aberta e bancos de couro,nenhum
20241213_205003.jpg,outro,5,retrato,galeria,Emblema Datsun 260Z em detalhe no painel do carro,nenhum
20241213_205046.jpg,outro,5,paisagem,galeria,Detalhe do farol e capô dianteiro de carro esportivo clássico laranja,nenhum
20241213_205104.jpg,outro,4,retrato,hero,Carro esportivo clássico laranja customizado dentro da oficina à noite,placa-visivel
20241213_205118.jpg,outro,5,paisagem,hero,Perfil lateral de carro esportivo clássico Datsun Fairlady Z laranja,nenhum
20241213_205144.jpg,outro,5,paisagem,hero,Traseira de carro esportivo clássico laranja customizado na oficina,placa-visivel
20250508_134133.jpg,som-acessorios,4,retrato,card-servico,Santo-antônio HILUX instalado na caçamba de picape,nenhum
20250508_134141.jpg,som-acessorios,4,retrato,card-servico,Detalhe do santo-antônio instalado sobre a caçamba da picape,nenhum
20250508_134152.jpg,som-acessorios,5,retrato,hero,Picape Toyota Hilux branca com capota marítima e santo-antônio instalados,nenhum
20250508_141047.jpg,outro,5,retrato,hero,Chevrolet Opala vermelho customizado com portas abertas na oficina,nenhum
20250508_141121.jpg,outro,4,retrato,galeria,Motor exposto de Chevrolet Opala vermelho com capô aberto,nenhum
20250508_141243.jpg,outro,4,retrato,galeria,Chevrolet Opala vermelho estacionado na rua em frente à oficina,placa-visivel
20250515_222940.jpg,som-acessorios,4,paisagem,pagina-som,Central multimídia automotiva instalada no painel de veículo 4x4,nenhum
20250515_222957(1).jpg,som-acessorios,5,retrato,pagina-som,Central multimídia Pioneer instalada no painel do veículo,nenhum
20250515_222957.jpg,som-acessorios,5,retrato,descartar,Central multimídia Pioneer instalada no painel do veículo (duplicata),sequencia-parecida
20250515_223033(1).jpg,outro,5,paisagem,hero,Land Rover Defender preto na oficina com mural decorativo ao fundo,nenhum
20250515_223033.jpg,outro,5,paisagem,descartar,Land Rover Defender preto na oficina com mural decorativo ao fundo (duplicata),sequencia-parecida
20250515_223111(1).jpg,outro,5,retrato,hero,Land Rover Defender preto de frente na oficina The Dark Film,nenhum
