arquivo,categoria,qualidade,orientacao,uso,alt,flags
20260214_195447.jpg,outro,3,retrato,galeria,Capo de fusca antigo azul refletindo luzes da oficina,nenhum
20260214_195505.jpg,outro,4,retrato,galeria,Fusca antigo azul visto de tras dentro da oficina com bicicletas na parede,placa-visivel
20260214_195543.jpg,loja-fachada,4,paisagem,hero,Interior da oficina com fusca azul kombi branca e jipe antigo expostos,placa-visivel
20260320_112807.jpg,som-acessorios,2,retrato,descartar,Central multimidia escura instalada em painel de carro compacto,escura
20260320_112828(1).jpg,som-acessorios,3,retrato,pagina-som,Painel de carro Fiat com central multimidia instalada e barra vermelha no teto,nenhum
20260320_112828.jpg,som-acessorios,3,retrato,descartar,Repeticao do painel de Fiat com central multimidia instalada,sequencia-parecida
20260320_112836.jpg,som-acessorios,3,paisagem,pagina-som,Painel de SUV com central multimidia instalada exibindo radio FM,nenhum
20260323_123440.jpg,som-acessorios,4,retrato,pagina-som,Central multimidia grande instalada em painel de veiculo exibindo radio FM,nenhum
20260323_123920(1).jpg,som-acessorios,4,retrato,descartar,Repeticao da central multimidia instalada no veiculo,sequencia-parecida
20260323_123920.jpg,som-acessorios,4,retrato,descartar,Repeticao da central multimidia instalada no veiculo,sequencia-parecida
20260402_003044.jpg,outro,4,retrato,galeria,Land Rover Defender azul exposto na oficina com mural de kombis ao fundo,nenhum
20260402_003234.jpg,outro,4,retrato,galeria,Land Rover Defender visto de tras dentro da oficina,sequencia-parecida
20260402_004111.jpg,outro,5,retrato,hero,Land Rover Defender visto de tras com lanterna acesa e estepe grande,sequencia-parecida
20260418_014703.jpg,outro,4,retrato,galeria,Chevrolet Camaro preto exposto na oficina com friso branco e vermelho no capo,placa-visivel
20260418_014734.jpg,outro,4,retrato,galeria,Chevrolet Camaro preto em outro angulo dentro da oficina,placa-visivel;sequencia-parecida
20260418_020303.jpg,outro,3,paisagem,galeria,Chevrolet Camaro preto estacionado ao lado de kombi branca na oficina,placa-visivel
20260429_121713.jpg,outro,4,retrato,galeria,Jeep Renegade cinza exposto na oficina com mural de kombis ao fundo,placa-visivel
20260429_121756.jpg,outro,3,retrato,galeria,Jeep Renegade cinza visto de tras dentro da oficina,placa-visivel;sequencia-parecida
20260429_121806.jpg,outro,4,paisagem,galeria,Jeep Renegade cinza exposto na oficina em luz natural,placa-visivel;sequencia-parecida
20260512_161748.jpg,outro,3,paisagem,descartar,Painel de BMW original com volante multifuncional e tela multimidia de fabrica,nenhum
20260512_161759.jpg,pelicula-automotiva,5,retrato,pagina-pelicula,Adesivo do The Dark Film no vidro avisando para nao abrir janelas por 24 horas,nenhum
20260512_161817.jpg,pelicula-automotiva,4,retrato,antes-depois,BMW preto com porta aberta mostrando interior vermelho apos aplicacao de pelicula,nenhum
20260512_161856.jpg,pelicula-automotiva,4,retrato,antes-depois,BMW preto visto de tras com vidros escurecidos na oficina,placa-visivel
20260523_163854.jpg,pelicula-arquitetonica,4,retrato,pagina-pelicula,Fachada de vidro de loja em obra para aplicacao de pelicula arquitetonica,bagunca-no-fundo
20260523_221458.jpg,pelicula-arquitetonica,3,paisagem,pagina-pelicula,Paineis de vidro com pelicula arquitetonica aplicada prontos para instalacao,bagunca-no-fundo
20260531_165718.jpg,outro,3,retrato,galeria,Kombi branca The Dark Film exposta em evento automotivo ao ar livre,rosto-visivel;bagunca-no-fundo
20260531_165908.jpg,outro,3,retrato,galeria,Kombi branca The Dark Film vista de frente em evento automotivo,rosto-visivel;sequencia-parecida
20260605_113110.jpg,outro,4,retrato,galeria,SUV preto com vidros escuros exposto na oficina com mural de fuscas ao fundo,placa-visivel
20260605_182635.jpg,outro,5,retrato,hero,Volvo XC60 preto com farol aceso exposto na oficina The Dark Film,placa-visivel
20260605_182728(1).jpg,som-acessorios,4,paisagem,pagina-som,Tablet instalado no painel de Volvo exibindo cameras de 360 graus,nenhum
20260605_182728.jpg,som-acessorios,4,paisagem,descartar,Repeticao do tablet instalado no painel de Volvo,sequencia-parecida
20260702_140758.jpg,som-acessorios,3,retrato,pagina-som,Central multimidia instalada em painel de Toyota exibindo radio FM,nenhum
20260702_140802.jpg,som-acessorios,3,retrato,descartar,Central multimidia de Toyota em angulo aproximado exibindo radio FM,sequencia-parecida
20260702_140809(1).jpg,som-acessorios,4,paisagem,pagina-som,Painel completo de Toyota com central multimidia instalada e fachada da loja ao fundo,nenhum
20260702_140809.jpg,som-acessorios,4,paisagem,descartar,Repeticao do painel de Toyota com central multimidia instalada,sequencia-parecida
20260711_203154.jpg,outro,3,retrato,galeria,SUV eletrico cinza exposto na oficina com adesivo da bandeira do Brasil no capo,placa-visivel
20260714_121053.jpg,outro,4,retrato,galeria,Hatchback eletrico cinza exposto na oficina com faixa The Dark Film no para-brisa,nenhum
20260714_121237.jpg,outro,4,retrato,galeria,Traseira de hatchback eletrico cinza com luzes acesas na oficina,sequencia-parecida
20260716_172321(1).jpg,outro,5,retrato,hero,Volkswagen Quantum vinho em piso xadrez sob letreiro The Dark Film,placa-visivel
20260716_172321.jpg,outro,5,retrato,descartar,Repeticao do Volkswagen Quantum vinho no piso xadrez,placa-visivel;sequencia-parecida
20260827_205327.jpg,outro,3,paisagem,descartar,Painel digital original de Volkswagen Golf GTI com velocimetro e tela multimidia,nenhum
20260827_205504.jpg,outro,4,retrato,galeria,Volkswagen Golf GTI cinza exposto na oficina vista frontal,nenhum
IMG-20240119-WA0248.jpg,som-acessorios,4,retrato,card-servico,Expositor de racks de teto e transbike na loja de acessorios,nenhum
IMG-20240201-WA0074.jpg,som-acessorios,5,paisagem,card-servico,Expositor de racks de teto Farad com sinalizacao de marca na loja,nenhum
IMG-20250718-WA0128.jpg,outro,3,retrato,galeria,Minimotos e scooters expostos na entrada da loja em piso xadrez,bagunca-no-fundo
IMG-20250917-WA0249.jpg,outro,2,retrato,descartar,Bicicletas estilo antigo expostas em ambiente de bar com pessoas ao fundo,rosto-visivel
IMG-20260115-WA0030.jpg,outro,4,paisagem,galeria,Mitsubishi Pajero branca estacionada na oficina,placa-visivel
IMG-20260115-WA0032.jpg,outro,3,retrato,galeria,Mitsubishi Pajero branca dentro da oficina com bicicletas na parede,sequencia-parecida;placa-visivel
IMG-20260115-WA0034.jpg,outro,4,retrato,galeria,Mitsubishi Pajero branca vista de tras com adesivo da bandeira do Brasil,placa-visivel;sequencia-parecida
IMG-20260115-WA0036.jpg,outro,4,retrato,galeria,Mitsubishi Pajero branca vista de frente com mural de kombis ao fundo,placa-visivel;sequencia-parecida
IMG-20260522-WA0218.jpg,outro,4,retrato,galeria,Geladeira personalizada The Dark Beer com bebidas na decoracao da loja,nenhum
