area,arquivo,categoria,qualidade,orientacao,alt,largura,altura
vitrine,20230706_174852.jpg,outro,5,retrato,Porsche 356 vermelho de corrida estacionado em frente a loja ao entardecer,4000,3000
vitrine,20231220_151747.jpg,outro,5,retrato,Land Rover Defender preto com rack de teto e estribos na oficina,4080,3060
vitrine,20231220_151831.jpg,outro,5,retrato,Interior do Land Rover Defender com bancos e painel em couro caramelo,4080,3060
vitrine,20240327_143847.jpg,outro,5,retrato,Detalhe de roda e pinca de freio vermelha em Porsche preto,4080,3060
vitrine,20240607_173126.jpg,outro,5,paisagem,Interior do Porsche Cayenne com volante e painel em couro,4080,3060
vitrine,20240607_174233.jpg,outro,5,retrato,Detalhe de roda e pinca de freio verde neon em Porsche Cayenne,4080,3060
vitrine,20240704_140528.jpg,outro,5,retrato,Detalhe de roda Michelin e pinca de freio no Porsche Panamera,4080,3060
vitrine,20240704_140634.jpg,outro,5,retrato,Detalhe do volante e painel do Porsche Panamera,4080,3060
vitrine,20240705_174447.jpg,outro,5,retrato,Sedan eletrico preto dentro da oficina com porta-placa The Dark Film,4080,3060
vitrine,20240712_164940.jpg,outro,5,paisagem,Interior de Peugeot azul com volante e central multimidia,4080,3060
aplicacao-carros,20180120_152925.jpg,envelopamento,5,retrato,Capo de Mustang preto e branco listrado com logo The Dark Film na frente,3096,4128
aplicacao-carros,20240607_173054.jpg,pelicula-automotiva,5,paisagem,Porsche Cayenne branco visto de tras com pelicula escura nos vidros,4080,3060
aplicacao-carros,20240704_140557.jpg,pelicula-automotiva,5,retrato,Porsche Panamera cinza visto de frente dentro da oficina,4080,3060
aplicacao-carros,20240705_174919.jpg,pelicula-automotiva,5,retrato,BYD preto visto de tras com vidros escurecidos e porta-placa The Dark Film,4080,3060
aplicacao-carros,20240712_165130.jpg,pelicula-automotiva,5,paisagem,Peugeot 2008 azul visto de tras com vidros traseiros escurecidos,4080,3060
aplicacao-carros,20240712_165418.jpg,pelicula-automotiva,5,retrato,Peugeot 2008 azul visto de frente com faixa solar e vidros escurecidos,4080,3060
aplicacao-carros,20250531_122848.jpg,pelicula-automotiva,5,retrato,Audi TT azul com vidros escurecidos por película na oficina The Dark Film,4080,3060
aplicacao-carros,20250531_123256.jpg,pelicula-automotiva,5,retrato,Audi TT azul estacionado na oficina com vidros escurecidos,4080,3060
multimidia,20250508_134152.jpg,som-acessorios,5,retrato,Picape Toyota Hilux branca com capota marítima e santo-antônio instalados,4080,3060
multimidia,IMG-20240201-WA0074.jpg,som-acessorios,5,paisagem,Expositor de racks de teto Farad com sinalizacao de marca na loja,3840,2160
multimidia,20250508_134141.jpg,som-acessorios,4,retrato,Detalhe do santo-antônio instalado sobre a caçamba da picape,4080,3060
multimidia,20250515_222940.jpg,som-acessorios,4,paisagem,Central multimídia automotiva instalada no painel de veículo 4x4,4080,3060
multimidia,20260214_121844.jpg,som-acessorios,4,retrato,Central multimídia instalada em painel; vitrine de produtos de som ao fundo,4080,3060
institucional,20240705_142317.jpg,loja-fachada,5,paisagem,Fachada da loja The Dark Film em dia claro com placas 3M e Thule,4080,3060
institucional,20240705_142320.jpg,loja-fachada,5,paisagem,Fachada da loja The Dark Film em dia claro em outro angulo,4080,3060
institucional,20250718_122616.jpg,loja-fachada,5,retrato,Fachada da loja The Dark Film com picape antiga estacionada na rua,4080,3060
arquitetura,20260523_163854.jpg,pelicula-arquitetonica,4,retrato,Fachada de vidro de loja em obra para aplicacao de pelicula arquitetonica,4080,3060
