arquivo,categoria,qualidade,orientacao,uso,alt,flags
20250913_130624(1).jpg,produto-avulso,4,retrato,galeria,Detalhe de porta-placa traseiro com logo The Dark Film em carro cinza,sequencia-parecida
20250913_130624.jpg,produto-avulso,4,retrato,descartar,Detalhe de porta-placa traseiro com logo The Dark Film em carro cinza (duplicata),sequencia-parecida
20250913_130646.jpg,outro,4,retrato,galeria,Carro customizado cinza estacionado na loja com vidros escurecidos e placa visível,placa-visivel
20250913_130723.jpg,outro,4,retrato,galeria,Traseira de carro customizado com porta-placa The Dark Film e difusor vermelho,sequencia-parecida
20250924_123944(1).jpg,outro,4,retrato,galeria,Bicicleta motorizada vermelha decorativa ao lado de bomba de combustível antiga,placa-visivel;sequencia-parecida
20250924_123944.jpg,outro,4,retrato,descartar,Bicicleta motorizada vermelha decorativa ao lado de bomba antiga (duplicata),placa-visivel;sequencia-parecida
20250924_123956(1).jpg,outro,4,retrato,galeria,Bicicleta motorizada vermelha decorativa dentro da loja com piso xadrez,sequencia-parecida
20250924_123956.jpg,outro,4,retrato,descartar,Bicicleta motorizada vermelha decorativa dentro da loja (duplicata),sequencia-parecida
20250924_172715(1).jpg,outro,3,retrato,galeria,Bicicleta decorativa vermelha na loja com clientes sentados ao fundo,rosto-visivel;bagunca-no-fundo
20250924_172715.jpg,outro,3,retrato,descartar,Bicicleta decorativa vermelha na loja com clientes ao fundo (duplicata),rosto-visivel;bagunca-no-fundo;sequencia-parecida
20250924_172929.jpg,outro,3,retrato,galeria,Bicicleta Harley-Davidson decorativa preta dentro da loja com pneus empilhados,bagunca-no-fundo
20250924_173421.jpg,loja-fachada,4,retrato,hero,Bicicleta Harley-Davidson decorativa na entrada da loja em dia de chuva,nenhum
20251002_103707.jpg,outro,3,retrato,galeria,Scooter Lambretta antiga azul e creme exposta dentro da loja,bagunca-no-fundo
20251008_100352.jpg,outro,3,retrato,galeria,Scooter Lambretta antiga azul e creme ao lado de bicicleta vermelha,bagunca-no-fundo
20251008_100452.jpg,outro,4,retrato,galeria,Scooter Lambretta antiga na calçada em frente à loja com placa visível,placa-visivel
20251008_100459.jpg,outro,4,retrato,galeria,Scooter Lambretta 150 LD azul e creme na calçada em close-up,nenhum
20251023_115043.jpg,outro,3,paisagem,galeria,Oficina com carros e projetos em restauração (picape; sedã; réplica F1),bagunca-no-fundo;placa-visivel
20251023_115135.jpg,outro,3,paisagem,galeria,Oficina com carros e projetos em restauração em outro ângulo,bagunca-no-fundo;sequencia-parecida
